date,dau,dau_low,dau_high,wau,wau_low,wau_high,mau,mau_low,mau_high,intensity,intensity_low,intensity_high,retention_1_week_new_profile,retention_1_week_new_profile_low,retention_1_week_new_profile_high,retention_1_week_active_in_week_0,retention_1_week_active_in_week_0_low,retention_1_week_active_in_week_0_high
2018-03-21,108326069,108305804.52783553,108346333.47216447,196127221,196095308.29636067,196159133.70363933,296176169,296137651.7117376,296214686.2882624,3.512470759986958,3.5121049283138124,3.512836591660103,0.2818701698101561,0.2812708703341899,0.2824694692861223,0.7612364756199862,0.7611782870795513,0.7612946641604211
2018-03-22,109481192,109466700.81349398,109495683.18650602,195558887,195530712.92971015,195587061.07028985,296209739,296171695.798382,296247782.201618,3.5281202740737627,3.527767626906695,3.5284729212408306,0.27320092715334465,0.2725634986085212,0.2738383556981681,0.7621234029117407,0.7620734926416931,0.7621733131817884
2018-03-23,103735623,103720983.6396268,103750262.3603732,194806635,194775318.57443783,194837951.42556217,296116050,296077820.40018135,296154279.59981865,3.5441259996098182,3.5437130084672788,3.5445389907523577,0.27765529291079016,0.2768643209261935,0.2784462648953868,0.7625667223215363,0.7625258858667963,0.7626075587762764
2018-03-24,75434201,75414233.3008834,75454168.6991166,194456400,194426242.0558543,194486557.9441457,295993193,295955318.7945601,296031067.2054399,3.5485903061046074,3.548185912048545,3.54899470016067,0.3363949175557191,0.33532918940648904,0.33746064570494916,0.766716039058871,0.7666603204957955,0.7667717576219465
2018-03-25,71447646,71430551.52329995,71464740.47670005,193768681,193740221.0890554,193797140.9109446,295736641,295698947.59337187,295774334.40662813,3.5525884185587246,3.5522106563346605,3.552966180782789,0.3397797107224467,0.3389903123752617,0.3405691090696317,0.7674391876474336,0.767387825512713,0.7674905497821541
2018-03-26,107566566,107550006.4674884,107583125.5325116,194053239,194027050.57493383,194079427.42506617,295746362,295708356.5949642,295784367.4050358,3.541415956473677,3.5410522030939884,3.5417797098533654,0.28311748245890617,0.28237285192024836,0.283862112997564,0.7704641736723864,0.770396164676799,0.7705321826679739
2018-03-27,107585770,107564180.11819808,107607359.88180192,193815354,193786292.91922513,193844415.08077487,295598409,295560240.060567,295636577.939433,3.5269500217201575,3.526600623303747,3.527299420136568,0.2826830118100047,0.28179363340213454,0.2835723902178749,0.7809399758017807,0.7808739928127327,0.7810059587908286
2018-03-28,106735087,106714326.82315849,106755847.17684151,193262879,193236703.47499046,193289054.52500954,295236658,295196894.7890325,295276421.2109675,3.5288001944750085,3.5284775819981795,3.5291228069518374,0.2971801318769149,0.2963900510556511,0.2979702126981787,0.7843733766951168,0.7843143496207872,0.7844324037694463
2018-03-29,101720322,101700066.0829723,101740577.9170277,191547779,191523076.0303572,191572481.9696428,294768521,294730553.4356474,294806488.5643526,3.5198800973829094,3.519563621764378,3.520196573001441,0.2986451952233351,0.2978317942463589,0.2994585962003113,0.7840750340225667,0.784023640558146,0.7841264274869875
2018-03-30,84533252,84518882.29520527,84547621.70479473,188273235,188245343.93573803,188301126.06426197,294085098,294046880.73848635,294123315.26151365,3.4791076065591584,3.478792600648839,3.479422612469478,0.3155884438622228,0.3142621161728082,0.3169147715516374,0.7821603521977215,0.7820983579223971,0.7822223464730459
