date,adi
2017-01-17,126668715
2017-01-18,125486775
2017-01-19,124185518
2017-01-20,116913240
2017-01-21,85578379
2017-01-22,85213766
2017-01-23,126874075
2017-01-24,125846455
2017-01-25,122884477
2017-01-26,119549161
2017-01-27,114030005
2017-01-28,83105457
2017-01-29,82806952
2017-01-30,124070795
2017-01-31,124222743
2017-02-01,122250662
2017-02-02,122090945
2017-02-03,116428491
2017-02-04,85843330
2017-02-05,84239650
2017-02-06,126355054
2017-02-07,104234100
2017-02-08,148146454
2017-02-09,124098275
2017-02-10,117196653
2017-02-11,84585621
2017-02-12,84263059
2017-02-13,126737446
2017-02-14,124294525
2017-02-15,123168352
2017-02-16,123166855
2017-02-17,116348102
2017-02-18,84655093
2017-02-19,83293752
2017-02-20,124273643
2017-02-21,125493658
2017-02-22,124542969
2017-02-23,120029851
2017-02-24,112388193
2017-02-25,83610986
2017-02-26,82657923
2017-02-27,120847537
2017-02-28,121429713
2017-03-01,124465292
2017-03-02,124116065
2017-03-03,116990452
2017-03-04,84902435
2017-03-05,84515416
2017-03-06,128374082
2017-03-07,127236549
2017-03-08,121785954
2017-03-09,124703459
2017-03-10,117375857
2017-03-11,84022577
2017-03-12,83351529
2017-03-13,125648811
2017-03-14,125812356
2017-03-15,124669471
2017-03-16,123309731
2017-03-17,116138136
2017-03-18,84814737
2017-03-19,83337393
2017-03-20,94525852
2017-03-21,125598577
2017-03-22,124140438
2017-03-23,123110970
2017-03-24,115611307
2017-03-25,82347945
2017-03-26,80719749
2017-03-27,126435293
2017-03-28,123883636
2017-03-29,123898663
2017-03-30,123649675
2017-03-31,116223766
2017-04-01,83477672
2017-04-02,81310787
2017-04-03,125049535
2017-04-04,123526699
2017-04-05,124440764
2017-04-06,122870261
2017-04-07,115789415
2017-04-08,82625273
2017-04-09,80429914
2017-04-10,123049600
2017-04-11,121108671
2017-04-12,119113229
2017-04-13,110492826
2017-04-14,90693720
2017-04-15,77795758
2017-04-16,72925945
2017-04-17,105264813
2017-04-18,122454531
2017-04-19,121272929
2017-04-20,119798799
2017-04-21,110170693
2017-04-22,82203917
2017-04-23,80840126
2017-04-24,121783126
2017-04-25,121826760
2017-04-26,123104355
2017-04-27,120726778
2017-04-28,112545762
2017-04-29,79144572
2017-04-30,74853510
2017-05-01,90691638
2017-05-02,122182748
2017-05-03,120472112
2017-05-04,120593824
2017-05-05,112614139
2017-05-06,80057262
2017-05-07,78965786
2017-05-08,118130820
2017-05-09,120523613
2017-05-10,119931186
2017-05-11,118346477
2017-05-12,112219501
2017-05-13,78879842
2017-05-14,76946783
2017-05-15,121191605
2017-05-16,120465755
2017-05-17,118565363
2017-05-18,118359311
2017-05-19,111000530
2017-05-20,77759754
2017-05-21,77070848
2017-05-22,120652360
2017-05-23,119802064
2017-05-24,116618410
2017-05-25,105365441
2017-05-26,103399685
2017-05-27,75639078
2017-05-28,74394179
2017-05-29,111041566
2017-05-30,117205549
2017-05-31,118094015
2017-06-01,114406993
2017-06-02,107138281
2017-06-03,76104894
2017-06-04,74203762
2017-06-05,110205466
2017-06-06,119465933
2017-06-07,117612451
2017-06-08,115590809
2017-06-09,108353420
2017-06-10,75774286
2017-06-12,116229734
2017-06-13,117716108
2017-06-14,114886490
2017-06-15,106967000
2017-06-16,104766522
2017-06-17,75410960
2017-06-18,74201721
2017-06-19,116606228
2017-06-20,115938978
2017-06-21,113820130
2017-06-22,112372385
2017-06-23,103752749
2017-06-24,73632493
